date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:45	23615/23615	---MCZ	200	added ('OK')	text/html	etag:W/%2256b4504c-5c3f%22	http://andrewch.eu/XENIA/index.html	andrewch.eu/XENIA/index.html	(from )
14:17:45	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:45%20GMT	http://andrewch.eu/robots.txt		(from )
14:17:46	245/245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:46%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-57x57.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-57x57.png	(from http://andrewch.eu/XENIA/index.html)
14:17:47	245/245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:47%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-60x60.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-60x60.png	(from http://andrewch.eu/XENIA/index.html)
14:17:48	245/245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:48%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-72x72.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-72x72.png	(from http://andrewch.eu/XENIA/index.html)
14:17:49	245/245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:49%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-76x76.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-76x76.png	(from http://andrewch.eu/XENIA/index.html)
14:17:50	247/247	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:50%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-114x114.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-114x114.png	(from http://andrewch.eu/XENIA/index.html)
14:17:51	247/247	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:51%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-120x120.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-120x120.png	(from http://andrewch.eu/XENIA/index.html)
14:17:52	247/247	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:52%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-144x144.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-144x144.png	(from http://andrewch.eu/XENIA/index.html)
14:17:53	247/247	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:53%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-152x152.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-152x152.png	(from http://andrewch.eu/XENIA/index.html)
14:17:54	247/247	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:54%20GMT	http://andrewch.eu/XENIA/assets/favicon/apple-touch-icon-180x180.png	andrewch.eu/XENIA/assets/favicon/apple-touch-icon-180x180.png	(from http://andrewch.eu/XENIA/index.html)
14:17:55	232/232	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:47:55%20GMT	http://andrewch.eu/XENIA/assets/favicon/manifest.json	andrewch.eu/XENIA/assets/favicon/manifest.json	(from http://andrewch.eu/XENIA/index.html)
14:17:56	2007/2007	---MCZ	200	added ('OK')	text/css	etag:W/%227d7-529ab0b29f9c0%22	http://andrewch.eu/XENIA/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.carousel.css	andrewch.eu/XENIA/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.carousel.css	(from http://andrewch.eu/XENIA/index.html)
14:17:57	1512/1512	---MCZ	200	added ('OK')	text/css	etag:W/%225e8-529ab0b29f9c0%22	http://andrewch.eu/XENIA/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.theme.default.css	andrewch.eu/XENIA/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.theme.default.css	(from http://andrewch.eu/XENIA/index.html)
14:17:58	61352/61352	---MCZ	200	added ('OK')	text/css	etag:W/%22efa8-529ab084d8dc0%22	http://andrewch.eu/XENIA/assets/css/libs/animate.min.css	andrewch.eu/XENIA/assets/css/libs/animate.min.css	(from http://andrewch.eu/XENIA/index.html)
14:17:59	15153/15153	---MCZ	200	added ('OK')	text/javascript	etag:W/%223b31-529ab0a822100%22	http://andrewch.eu/XENIA/assets/js/libs/modernizr.custom.48287.js	andrewch.eu/XENIA/assets/js/libs/modernizr.custom.48287.js	(from http://andrewch.eu/XENIA/index.html)
14:18:00	84968/84968	---MCZ	200	added ('OK')	text/css	etag:W/%2214be8-52a17e483a380%22	http://andrewch.eu/XENIA/assets/css/theme_custom_bootstrap.min.css	andrewch.eu/XENIA/assets/css/theme_custom_bootstrap.min.css	(from http://andrewch.eu/XENIA/index.html)
14:18:05	21495/21495	---M--	200	added ('OK')	image/png	etag:%2253f7-529ab164f5e80%22	http://andrewch.eu/XENIA/assets/images/logo.png	andrewch.eu/XENIA/assets/images/logo.png	(from http://andrewch.eu/XENIA/index.html)
14:18:07	15934/15934	---MCZ	200	added ('OK')	text/html	etag:W/%2256a51012-3e3e%22	http://andrewch.eu/XENIA/room-list.html	andrewch.eu/XENIA/room-list.html	(from http://andrewch.eu/XENIA/index.html)
14:18:07	321493/321493	---MCZ	200	added ('OK')	text/css	etag:W/%224e7d5-52b00dee383c0%22	http://andrewch.eu/XENIA/assets/css/style.css	andrewch.eu/XENIA/assets/css/style.css	(from http://andrewch.eu/XENIA/index.html)
14:18:07	15604/15604	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f8-3cf4%22	http://andrewch.eu/XENIA/index-activities.html	andrewch.eu/XENIA/index-activities.html	(from http://andrewch.eu/XENIA/index.html)
14:18:09	16211/16211	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f6-3f53%22	http://andrewch.eu/XENIA/index-restaurant.html	andrewch.eu/XENIA/index-restaurant.html	(from http://andrewch.eu/XENIA/index.html)
14:18:09	11715/11715	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f8-2dc3%22	http://andrewch.eu/XENIA/gallery.html	andrewch.eu/XENIA/gallery.html	(from http://andrewch.eu/XENIA/index.html)
14:18:10	20119/20119	---MCZ	200	added ('OK')	text/html	etag:W/%2256a510fc-4e97%22	http://andrewch.eu/XENIA/blog.html	andrewch.eu/XENIA/blog.html	(from http://andrewch.eu/XENIA/index.html)
14:18:11	15364/15364	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f8-3c04%22	http://andrewch.eu/XENIA/contact.html	andrewch.eu/XENIA/contact.html	(from http://andrewch.eu/XENIA/index.html)
14:18:17	3849/3849	---M--	200	added ('OK')	image/jpeg	etag:%22f09-529ab1204bc80%22	http://andrewch.eu/XENIA/assets/images/avatar-1.jpg	andrewch.eu/XENIA/assets/images/avatar-1.jpg	(from http://andrewch.eu/XENIA/index.html)
14:18:17	7701/7701	---M--	200	added ('OK')	image/png	etag:%221e15-529ab13546e00%22	http://andrewch.eu/XENIA/assets/images/decoration-1.png	andrewch.eu/XENIA/assets/images/decoration-1.png	(from http://andrewch.eu/XENIA/index.html)
14:18:19	16469/16469	---MCZ	200	added ('OK')	text/html	etag:W/%2256a50e8f-4055%22	http://andrewch.eu/XENIA/index-spa.html	andrewch.eu/XENIA/index-spa.html	(from http://andrewch.eu/XENIA/index.html)
14:18:23	15957/15957	---MCZ	200	added ('OK')	text/html	etag:W/%2256a50e65-3e55%22	http://andrewch.eu/XENIA/index-gym.html	andrewch.eu/XENIA/index-gym.html	(from http://andrewch.eu/XENIA/index.html)
14:18:25	25834/25834	---M--	200	added ('OK')	image/png	etag:%2264ea-529ab166de300%22	http://andrewch.eu/XENIA/assets/images/logo_spa.png	andrewch.eu/XENIA/assets/images/logo_spa.png	(from http://andrewch.eu/XENIA/index.html)
14:18:41	55208/55208	---M--	200	added ('OK')	image/jpeg	etag:%22d7a8-529ab1457d440%22	http://andrewch.eu/XENIA/assets/images/gym-banner.jpg	andrewch.eu/XENIA/assets/images/gym-banner.jpg	(from http://andrewch.eu/XENIA/index.html)
14:18:48	26521/26521	---M--	200	added ('OK')	image/png	etag:%226799-529ab166de300%22	http://andrewch.eu/XENIA/assets/images/logo_restaurant.png	andrewch.eu/XENIA/assets/images/logo_restaurant.png	(from http://andrewch.eu/XENIA/index.html)
14:18:49	86842/86842	---M--	200	added ('OK')	image/jpeg	etag:%221533a-529ab1837a680%22	http://andrewch.eu/XENIA/assets/images/restaurant-banner.jpg	andrewch.eu/XENIA/assets/images/restaurant-banner.jpg	(from http://andrewch.eu/XENIA/index.html)
14:18:53	20784/20784	---MCZ	200	added ('OK')	text/html	etag:W/%2256a50bb8-5130%22	http://andrewch.eu/XENIA/room-single.html	andrewch.eu/XENIA/room-single.html	(from http://andrewch.eu/XENIA/index.html)
14:18:57	265341/265341	---M--	200	added ('OK')	image/jpeg	etag:%2240c7d-529ab14c2a400%22	http://andrewch.eu/XENIA/assets/images/home-1.jpg	andrewch.eu/XENIA/assets/images/home-1.jpg	(from http://andrewch.eu/XENIA/index.html)
14:19:00	4857/4857	---M--	200	added ('OK')	image/jpeg	etag:%2212f9-529ab1204bc80%22	http://andrewch.eu/XENIA/assets/images/avatar-2.jpg	andrewch.eu/XENIA/assets/images/avatar-2.jpg	(from http://andrewch.eu/XENIA/index.html)
14:19:12	105729/105729	---M--	200	added ('OK')	image/jpeg	etag:%2219d01-529ab18c0fac0%22	http://andrewch.eu/XENIA/assets/images/room-3.jpg	andrewch.eu/XENIA/assets/images/room-3.jpg	(from http://andrewch.eu/XENIA/index.html)
14:19:15	118370/118370	---M--	200	added ('OK')	image/jpeg	etag:%221ce62-529ab18c0fac0%22	http://andrewch.eu/XENIA/assets/images/room-2.jpg	andrewch.eu/XENIA/assets/images/room-2.jpg	(from http://andrewch.eu/XENIA/index.html)
14:19:15	14901/14901	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f5-3a35%22	http://andrewch.eu/XENIA/index-package-offer.html	andrewch.eu/XENIA/index-package-offer.html	(from http://andrewch.eu/XENIA/index.html)
14:19:17	91134/91134	---M--	200	added ('OK')	image/png	etag:%22163fe-529ab12234100%22	http://andrewch.eu/XENIA/assets/images/award.png	andrewch.eu/XENIA/assets/images/award.png	(from http://andrewch.eu/XENIA/index.html)
14:19:19	18741/18741	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f8-4935%22	http://andrewch.eu/XENIA/blog-boxed.html	andrewch.eu/XENIA/blog-boxed.html	(from http://andrewch.eu/XENIA/index.html)
14:19:19	14293/14293	---MCZ	200	added ('OK')	text/html	etag:W/%2256a51086-37d5%22	http://andrewch.eu/XENIA/room-list-compact.html	andrewch.eu/XENIA/room-list-compact.html	(from http://andrewch.eu/XENIA/index.html)
14:19:23	22855/22855	---MCZ	200	added ('OK')	text/html	etag:W/%2256a510fc-5947%22	http://andrewch.eu/XENIA/single.html	andrewch.eu/XENIA/single.html	(from http://andrewch.eu/XENIA/index.html)
14:19:23	12685/12685	---MCZ	200	added ('OK')	text/html	etag:W/%2256a50f1d-318d%22	http://andrewch.eu/XENIA/booking.html	andrewch.eu/XENIA/booking.html	(from http://andrewch.eu/XENIA/index.html)
14:19:27	14646/14646	---MCZ	200	added ('OK')	text/html	etag:W/%2256a508f7-3936%22	http://andrewch.eu/XENIA/404.html	andrewch.eu/XENIA/404.html	(from http://andrewch.eu/XENIA/index.html)
14:19:27	9939/9939	---MCZ	200	added ('OK')	text/javascript	etag:W/%2226d3-529ab0950f400%22	http://andrewch.eu/XENIA/assets/js/config.js	andrewch.eu/XENIA/assets/js/config.js	(from http://andrewch.eu/XENIA/index.html)
14:19:31	499338/499338	---M--	200	added ('OK')	image/jpeg	etag:%2279e8a-529ab152d73c0%22	http://andrewch.eu/XENIA/assets/images/home-2.jpg	andrewch.eu/XENIA/assets/images/home-2.jpg	(from http://andrewch.eu/XENIA/index.html)
14:19:33	55258/55258	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d7da-529ab098dfd00%22	http://andrewch.eu/XENIA/assets/js/libs/bootstrap.js	andrewch.eu/XENIA/assets/js/libs/bootstrap.js	(from http://andrewch.eu/XENIA/index.html)
14:19:33	15242/15242	---MCZ	200	added ('OK')	text/javascript	etag:W/%223b8a-529ab0ace6c40%22	http://andrewch.eu/XENIA/assets/js/libs/wow.js	andrewch.eu/XENIA/assets/js/libs/wow.js	(from http://andrewch.eu/XENIA/index.html)
14:19:35	2722/2722	---MCZ	200	added ('OK')	text/javascript	etag:W/%22aa2-529ab0b29f9c0%22	http://andrewch.eu/XENIA/assets/js/libs/conformity/dist/conformity.js	andrewch.eu/XENIA/assets/js/libs/conformity/dist/conformity.js	(from http://andrewch.eu/XENIA/index.html)
14:19:39	40401/40401	---MCZ	200	added ('OK')	text/javascript	etag:W/%229dd1-529ab0afc3300%22	http://andrewch.eu/XENIA/assets/js/libs/owl.carousel.2.0.0-beta.2.4/owl.carousel.js	andrewch.eu/XENIA/assets/js/libs/owl.carousel.2.0.0-beta.2.4/owl.carousel.js	(from http://andrewch.eu/XENIA/index.html)
14:19:39	247597/247597	---MCZ	200	added ('OK')	text/javascript	etag:W/%223c72d-529ab09da4840%22	http://andrewch.eu/XENIA/assets/js/libs/jquery-2.1.4.js	andrewch.eu/XENIA/assets/js/libs/jquery-2.1.4.js	(from http://andrewch.eu/XENIA/index.html)
14:19:39	2012/2012	---MCZ	200	added ('OK')	text/javascript	etag:W/%227dc-529ab09603640%22	http://andrewch.eu/XENIA/assets/js/owlslider-init.js	andrewch.eu/XENIA/assets/js/owlslider-init.js	(from http://andrewch.eu/XENIA/index.html)
14:19:43	99313/99313	---MCZ	200	added ('OK')	text/javascript	etag:W/%22183f1-529ab098dfd00%22	http://andrewch.eu/XENIA/assets/js/libs/bootstrap-datetimepicker.js	andrewch.eu/XENIA/assets/js/libs/bootstrap-datetimepicker.js	(from http://andrewch.eu/XENIA/index.html)
14:19:45	228/228	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Nov%202020%2008:49:43%20GMT	http://andrewch.eu/XENIA/images/form-selector.png	andrewch.eu/XENIA/images/form-selector.3c.delayed	(from http://andrewch.eu/XENIA/assets/css/style.css)
